x,y,z,P,Sw,Sg
425,325,12.5,164.77,0.2,0.051792
475,325,12.5,157.264,0.2,0.0521818
525,325,12.5,107.46,0.2,0.0548357
575,325,12.5,144.958,0.2,0.052827
625,325,12.5,106.171,0.2,0.0549062
675,325,12.5,158.779,0.2,0.052103
725,325,12.5,190.062,0.2,0.0504993
775,325,12.5,198.124,0.2,0.0500939
825,325,12.5,199.697,0.2,0.0500152
875,325,12.5,199.956,0.2,0.0500022
925,325,12.5,199.994,0.2,0.0500003
975,325,12.5,199.999,0.2,0.05
25,375,12.5,199.999,0.2,0.05
75,375,12.5,199.996,0.2,0.0500002
125,375,12.5,199.986,0.2,0.0500007
175,375,12.5,199.913,0.2,0.0500043
225,375,12.5,199.552,0.2,0.0500224
275,375,12.5,197.804,0.2,0.0501099
325,375,12.5,191.404,0.2,0.0504316
375,375,12.5,177.393,0.2,0.0511429
425,375,12.5,184.611,0.2,0.0507752
475,375,12.5,174.264,0.2,0.0513031
525,375,12.5,167.889,0.2,0.0516309
575,375,12.5,173.901,0.2,0.0513217
625,375,12.5,173.799,0.2,0.0513269
675,375,12.5,186.656,0.2,0.0506715
725,375,12.5,195.99,0.2,0.0502009
775,375,12.5,199.164,0.2,0.0500418
825,375,12.5,199.856,0.2,0.0500072
875,375,12.5,199.977,0.2,0.0500012
925,375,12.5,199.997,0.2,0.0500002
975,375,12.5,200,0.2,0.05
25,425,12.5,200,0.2,0.05
75,425,12.5,199.999,0.2,0.05
125,425,12.5,199.996,0.2,0.0500002
175,425,12.5,199.973,0.2,0.0500014
225,425,12.5,199.852,0.2,0.0500074
275,425,12.5,199.27,0.2,0.0500365
325,425,12.5,197.559,0.2,0.0501222
375,425,12.5,195.2,0.2,0.0502406
425,425,12.5,195.918,0.2,0.0502045
475,425,12.5,193.505,0.2,0.0503258
525,425,12.5,191.672,0.2,0.0504181
575,425,12.5,189.081,0.2,0.0505488
625,425,12.5,193.119,0.2,0.0503452
675,425,12.5,196.474,0.2,0.0501766
725,425,12.5,198.579,0.2,0.0500711
775,425,12.5,199.716,0.2,0.0500142
825,425,12.5,199.948,0.2,0.0500026
875,425,12.5,199.985,0.2,0.0500007
925,425,12.5,199.998,0.2,0.0500001
975,425,12.5,200,0.2,0.05
25,475,12.5,200,0.2,0.05
75,475,12.5,200,0.2,0.05
125,475,12.5,199.999,0.2,0.0500001
175,475,12.5,199.992,0.2,0.0500004
225,475,12.5,199.96,0.2,0.050002
275,475,12.5,199.826,0.2,0.0500087
325,475,12.5,199.47,0.2,0.0500265
375,475,12.5,198.997,0.2,0.0500502
425,475,12.5,199.011,0.2,0.0500495
475,475,12.5,198.46,0.2,0.0500771
525,475,12.5,197.996,0.2,0.0501003
575,475,12.5,197.424,0.2,0.050129
625,475,12.5,198.344,0.2,0.0500828
