seg_id,frac_id,leaf_id,parent_id,area,cx,cy,cz,Tmf
652,73,348,71,82.839,572.291,169.402,44.9671,0.000662712
653,73,349,71,104.75,579.887,171.409,47.4779,0.000837997
654,73,350,71,73.4822,569.912,177.627,37.9625,0.000587858
655,73,351,71,550.904,589.366,186.129,42.0324,0.00440723
656,73,358,72,263.829,609.585,194.998,46.2394,0.00211063
657,73,460,91,5.85061,598.845,200.849,36.5868,4.68048e-05
658,73,467,92,142.863,607.206,203.222,39.2347,0.00114291
659,73,1363,271,1.83367,574.617,163.143,50.5635,1.46694e-05
660,73,1364,271,171.459,583.179,166.987,52.2832,0.00137167
661,73,1366,271,51.7034,597.185,177.068,52.4314,0.000413627
662,73,1373,272,200.055,610.891,187.14,52.4314,0.00160044
663,74,1923,361,344.299,90.6072,416.048,72.4672,0.00275439
664,74,1925,361,50.4447,90.7537,426.332,74.7095,0.000403557
665,74,1929,361,314.661,90.8948,436.102,76.8398,0.00251729
666,74,1930,362,474.162,112.5,415.734,72.5348,0.00379329
667,74,1931,362,129.007,128.32,415.511,72.5844,0.00103205
668,74,1932,362,52.3355,112.5,426.023,74.7771,0.000418684
669,74,1933,362,11.2848,128.467,425.795,74.8267,9.02787e-05
670,74,1936,362,431.978,112.5,435.487,76.8398,0.00345583
671,74,1937,362,124.323,128.597,435.028,76.8398,0.000994585
672,75,1966,367,49.8812,384.859,448.141,62.1129,0.000399049
673,75,2074,387,299.708,368.963,463.923,67.4711,0.00239767
674,75,2075,387,340.102,382.463,455.584,67.2677,0.00272082
675,75,2078,387,39.8105,371.049,473.267,76.5654,0.000318484
676,75,2079,387,310.514,385.462,468.349,79.7685,0.00248411
677,75,2080,387,49.7464,372.254,478.006,81.2539,0.000397971
678,75,2081,387,29.428,377.775,476.665,82.9475,0.000235424
679,76,879,155,13.8073,796.879,399.07,13.933,0.000110458
680,76,886,156,91.3014,808.248,397.459,14.5178,0.000730411
681,76,995,175,548.993,789.486,410.91,17.1086,0.00439194
682,76,997,175,96.4974,791.279,427.538,22.7631,0.000771979
683,76,1002,176,525.776,810.04,414.116,20.1817,0.00420621
684,76,1004,176,12.4274,802.961,425.882,23.3637,9.94194e-05
685,77,710,131,376.234,591.029,316.47,40.7602,0.00300987
686,77,711,131,76.8726,572.565,344.075,36.5824,0.000614981
687,77,712,131,656.828,586.828,335.865,42.9711,0.00525462
688,77,717,132,86.9551,602.768,318.694,48.1832,0.000695641
689,77,719,132,15.4377,601.091,327.655,49.3599,0.000123502
690,77,855,151,244.745,569.719,359.347,38.5944,0.00195796
691,77,856,151,363.62,581.458,361.571,46.0174,0.00290896
692,77,1741,331,70.5984,597.667,344.322,51.3689,0.000564787
693,77,1746,332,99.7703,609.675,320.28,52.6179,0.000798162
694,77,1748,332,193.6,603.479,336.593,52.9156,0.0015488
695,77,1871,351,258.757,591.82,363.239,52.4992,0.00207005
696,77,1873,351,14.0413,588.519,375.962,53.6295,0.00011233
697,77,1878,352,5.33692,600.642,351.561,54.8594,4.26953e-05
698,78,560,108,34.3574,420.919,272.981,38.401,0.000274859
699,78,561,108,25.2219,430.063,273.925,38.6398,0.000201775
700,78,562,108,269.426,419.492,286.728,35.0402,0.00215541
701,78,563,108,632.853,435.964,287.826,35.6143,0.00506283
702,78,570,109,304.593,456.885,289.383,36.3048,0.00243674
703,78,686,128,65.1166,441.865,301.728,32.5888,0.000520933
704,78,693,129,71.202,455.457,303.13,32.944,0.000569616
705,79,342,70,117.777,520.621,196.196,40.9347,0.000942215
706,79,343,70,49.047,528.381,198.047,43.9274,0.000392376
707,79,447,90,99.7048,517.509,210.424,22.7073,0.000797639
