leaf_id,parent_id,x,y,z,P,Sw,Sg
109,28,412.5,62.5,37.5,199.999,0.2,0.05
110,28,437.5,62.5,37.5,199.999,0.2,0.05
111,28,412.5,87.5,37.5,199.989,0.2,0.0500005
112,28,437.5,87.5,37.5,199.991,0.2,0.0500005
113,29,475,75,25,199.998,0.2,0.0500001
114,30,512.5,62.5,12.5,199.997,0.2,0.0500001
115,30,537.5,62.5,12.5,199.998,0.2,0.0500001
116,30,512.5,87.5,12.5,199.967,0.2,0.0500017
117,30,537.5,87.5,12.5,199.967,0.2,0.0500016
118,30,512.5,62.5,37.5,199.997,0.2,0.0500002
119,30,537.5,62.5,37.5,199.997,0.2,0.0500001
120,30,512.5,87.5,37.5,199.967,0.2,0.0500016
121,30,537.5,87.5,37.5,199.968,0.2,0.0500016
122,31,562.5,62.5,12.5,199.999,0.2,0.05
123,31,587.5,62.5,12.5,199.999,0.2,0.05
124,31,562.5,87.5,12.5,199.995,0.2,0.0500003
125,31,587.5,87.5,12.5,199.996,0.2,0.0500002
126,31,562.5,62.5,37.5,199.999,0.2,0.05
127,31,587.5,62.5,37.5,199.998,0.2,0.0500001
128,31,562.5,87.5,37.5,199.992,0.2,0.0500004
129,31,587.5,87.5,37.5,199.983,0.2,0.0500009
130,32,625,75,25,199.993,0.2,0.0500003
131,33,662.5,62.5,12.5,200,0.2,0.05
132,33,687.5,62.5,12.5,200,0.2,0.05
133,33,662.5,87.5,12.5,199.999,0.2,0.05
134,33,687.5,87.5,12.5,200,0.2,0.05
135,33,662.5,62.5,37.5,200,0.2,0.05
136,33,687.5,62.5,37.5,200,0.2,0.05
137,33,662.5,87.5,37.5,199.999,0.2,0.0500001
138,33,687.5,87.5,37.5,200,0.2,0.05
139,34,725,75,25,200,0.2,0.05
140,35,775,75,25,200,0.2,0.05
141,36,825,75,25,200,0.2,0.05
142,37,875,75,25,200,0.2,0.05
143,38,925,75,25,200,0.2,0.05
144,39,975,75,25,200,0.2,0.05
145,40,25,125,25,200,0.2,0.05
146,41,62.5,112.5,12.5,200,0.2,0.05
147,41,87.5,112.5,12.5,200,0.2,0.05
148,41,62.5,137.5,12.5,200,0.2,0.05
149,41,87.5,137.5,12.5,200,0.2,0.05
150,41,62.5,112.5,37.5,200,0.2,0.05
151,41,87.5,112.5,37.5,200,0.2,0.05
152,41,62.5,137.5,37.5,200,0.2,0.05
153,41,87.5,137.5,37.5,200,0.2,0.05
154,42,112.5,112.5,12.5,200,0.2,0.05
155,42,137.5,112.5,12.5,200,0.2,0.05
156,42,112.5,137.5,12.5,200,0.2,0.05
157,42,137.5,137.5,12.5,200,0.2,0.05
158,42,112.5,112.5,37.5,200,0.2,0.05
159,42,137.5,112.5,37.5,200,0.2,0.05
160,42,112.5,137.5,37.5,200,0.2,0.05
161,42,137.5,137.5,37.5,200,0.2,0.05
162,43,162.5,112.5,12.5,200,0.2,0.05
163,43,187.5,112.5,12.5,200,0.2,0.05
164,43,162.5,137.5,12.5,200,0.2,0.05
165,43,187.5,137.5,12.5,200,0.2,0.05
166,43,162.5,112.5,37.5,200,0.2,0.05
167,43,187.5,112.5,37.5,200,0.2,0.05
168,43,162.5,137.5,37.5,200,0.2,0.05
169,43,187.5,137.5,37.5,200,0.2,0.05
170,44,212.5,112.5,12.5,200,0.2,0.05
171,44,237.5,112.5,12.5,200,0.2,0.05
172,44,212.5,137.5,12.5,200,0.2,0.05
173,44,237.5,137.5,12.5,200,0.2,0.05
174,44,212.5,112.5,37.5,200,0.2,0.05
175,44,237.5,112.5,37.5,200,0.2,0.05
176,44,212.5,137.5,37.5,200,0.2,0.05
177,44,237.5,137.5,37.5,200,0.2,0.05
178,45,262.5,112.5,12.5,200,0.2,0.05
179,45,287.5,112.5,12.5,200,0.2,0.05
180,45,262.5,137.5,12.5,200,0.2,0.05
181,45,287.5,137.5,12.5,200,0.2,0.05
182,45,262.5,112.5,37.5,200,0.2,0.05
183,45,287.5,112.5,37.5,200,0.2,0.05
184,45,262.5,137.5,37.5,200,0.2,0.05
185,45,287.5,137.5,37.5,200,0.2,0.05
186,46,312.5,112.5,12.5,200,0.2,0.05
187,46,337.5,112.5,12.5,199.997,0.2,0.0500001
188,46,312.5,137.5,12.5,199.998,0.2,0.0500001
189,46,337.5,137.5,12.5,199.976,0.2,0.0500012
190,46,312.5,112.5,37.5,199.999,0.2,0.0500001
191,46,337.5,112.5,37.5,199.989,0.2,0.0500005
192,46,312.5,137.5,37.5,199.994,0.2,0.0500003
193,46,337.5,137.5,37.5,199.929,0.2,0.0500035
194,47,362.5,112.5,12.5,199.981,0.2,0.050001
195,47,387.5,112.5,12.5,199.928,0.2,0.0500036
196,47,362.5,137.5,12.5,199.844,0.2,0.0500078
197,47,387.5,137.5,12.5,199.308,0.2,0.0500346
198,47,362.5,112.5,37.5,199.914,0.2,0.0500043
199,47,387.5,112.5,37.5,199.661,0.2,0.0500169
200,47,362.5,137.5,37.5,199.326,0.2,0.0500337
201,47,387.5,137.5,37.5,196.111,0.2,0.0501948
202,48,412.5,112.5,12.5,199.983,0.2,0.0500009
203,48,437.5,112.5,12.5,199.994,0.2,0.0500003
204,48,412.5,137.5,12.5,199.854,0.2,0.0500073
205,48,437.5,137.5,12.5,199.978,0.2,0.0500011
206,48,412.5,112.5,37.5,199.926,0.2,0.0500037
207,48,437.5,112.5,37.5,199.981,0.2,0.0500009
208,48,412.5,137.5,37.5,199.335,0.2,0.0500333
209,48,437.5,137.5,37.5,199.918,0.2,0.0500041
210,49,475,125,25,199.935,0.2,0.0500033
211,50,525,125,25,199.454,0.2,0.0500273
212,51,562.5,112.5,12.5,199.957,0.2,0.0500021
213,51,587.5,112.5,12.5,199.955,0.2,0.0500022
214,51,562.5,137.5,12.5,199.891,0.2,0.0500055
215,51,587.5,137.5,12.5,199.719,0.2,0.0500141
216,51,562.5,112.5,37.5,199.923,0.2,0.0500039
