id,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3
71,364.527,112.334,15.5546,373.233,142.727,15.5546,356.163,147.616,2.57503,347.458,117.223,2.57503
72,287.699,31.156,11.9529,268.27,105.692,11.9529,254.217,102.029,-8.90489,273.645,27.4929,-8.90489
73,104.512,434.512,17.1257,75.2312,459.109,17.1257,60.9844,442.15,4.93777,90.2657,417.552,4.93777
74,1008.04,167.965,16.1789,997.348,216.45,16.1789,962.534,208.774,13.8043,973.225,160.289,13.8043
75,49.9921,51.3699,11.6896,46.3555,84.9415,11.6896,23.6517,82.4822,-11.1427,27.2882,48.9106,-11.1427
76,896.718,260.588,17.1269,946.023,307.206,17.1269,929.613,324.561,11.918,880.309,277.944,11.918
77,217.279,115.822,8.85429,290.39,126.672,8.85429,285.605,158.91,-0.565182,212.495,148.06,-0.565182
78,55.451,234.596,19.1554,-4.53704,273.628,19.1554,-11.0815,263.57,-0.106992,48.9065,224.538,-0.106992
79,115.725,386.805,19.7162,73.6155,420.613,19.7162,61.0911,405.013,3.88201,103.201,371.205,3.88201
80,832.968,420.903,20.6337,800.077,492.756,20.6337,777.121,482.248,4.05686,810.012,410.395,4.05686
81,88.3981,332.488,20.7906,119.556,374.8,20.7906,93.606,393.909,1.10726,62.4487,351.597,1.10726
82,665.898,374.065,10.0084,736.447,388.961,10.0084,729.385,422.407,8.36546,658.836,407.511,8.36546
83,634.608,145.635,9.6367,627.719,204.214,9.6367,607.003,201.778,-1.27147,613.892,143.199,-1.27147
84,588.92,178.689,26.8036,599.606,216.2,26.8036,580.612,221.611,1.10311,569.926,184.1,1.10311
85,520.283,460.583,18.3664,539.548,496.992,18.3664,510.19,512.527,5.71104,490.924,476.118,5.71104
86,16.7489,248.797,17.0172,60.6915,267.608,17.0172,46.8604,299.918,4.35979,2.91784,281.107,4.35979
87,299.296,19.607,14.9713,356.013,50.0896,14.9713,343.87,72.6836,4.27453,287.153,42.201,4.27453
88,17.2012,405.706,18.02,10.3348,465.175,18.02,-12.0112,462.595,-14.6393,-5.14477,403.126,-14.6393
89,210.266,357.868,11.7757,269.307,387.424,11.7757,261.967,402.088,9.47492,202.926,372.531,9.47492
90,695.239,400.663,22.4022,709.184,428.935,22.4022,679.092,443.777,7.58249,665.147,415.506,7.58249
91,81.1239,345.997,13.2209,137.052,362.094,13.2209,128.614,391.408,-5.92957,72.6866,375.311,-5.92957
92,244.439,146.816,18.4447,247.5,194.473,18.4447,221.994,196.111,0.514112,218.933,148.454,0.514112
93,728.871,249.957,21.6261,757.328,300.752,21.6261,744.774,307.785,1.83532,716.317,256.991,1.83532
94,584.744,102.991,14.4469,631.249,104.092,14.4469,630.366,141.362,5.48304,583.862,140.261,5.48304
95,350.365,229.915,30.5839,384.235,235.898,30.5839,380.349,257.895,3.44878,346.479,251.912,3.44878
96,71.4935,-27.1425,29.2718,52.6064,50.4548,29.2718,31.7774,45.385,-1.39335,50.6645,-32.2123,-1.39335
97,37.8962,471.483,19.2536,-4.01854,522.652,19.2536,-27.2962,503.584,0.37635,14.6185,452.415,0.37635
98,451.764,386.78,15.5208,515.262,432.764,15.5208,501.475,451.802,-7.31767,437.977,405.818,-7.31767
99,549.399,362.731,19.9114,515.815,370.015,19.9114,510.281,344.5,10.7998,543.865,337.215,10.7998
100,400,150,-40,400,350,-40,400,350,60,400,150,60
101,500,150,-40,500,350,-40,500,350,60,500,150,60
102,600,150,-40,600,350,-40,600,350,60,600,150,60
