x,y,z,P,Sw,Sg
675,325,5,51.2809,0.2,0.0579645
725,325,5,52.7833,0.2,0.0578683
775,325,5,55.0586,0.2,0.0577565
825,325,5,57.1133,0.2,0.057652
875,325,5,58.6548,0.2,0.0575692
925,325,5,59.6854,0.2,0.0575127
975,325,5,60.0403,0.2,0.0574927
25,375,5,61.2945,0.2,0.0574207
75,375,5,60.9944,0.2,0.0574378
125,375,5,60.5949,0.2,0.0574592
175,375,5,58.9331,0.2,0.0575486
225,375,5,56.8122,0.2,0.0576599
275,375,5,55.7161,0.2,0.0577359
325,375,5,54.2022,0.2,0.0578168
375,375,5,52.6943,0.2,0.0578914
425,375,5,51.7856,0.2,0.0579546
475,375,5,51.2728,0.2,0.057993
525,375,5,50.7862,0.2,0.0580063
575,375,5,50.9517,0.2,0.0580072
625,375,5,51.177,0.2,0.0579955
675,375,5,51.775,0.2,0.0579406
725,375,5,53.3274,0.2,0.0578441
775,375,5,55.5121,0.2,0.0577364
825,375,5,57.2955,0.2,0.0576438
875,375,5,58.5348,0.2,0.057576
925,375,5,59.583,0.2,0.0575184
975,375,5,60.0818,0.2,0.0574903
25,425,5,61.1388,0.2,0.0574296
75,425,5,61.0335,0.2,0.0574357
125,425,5,60.4921,0.2,0.0574662
175,425,5,59.2594,0.2,0.0575338
225,425,5,57.6526,0.2,0.0576219
275,425,5,56.0704,0.2,0.0577105
325,425,5,54.3449,0.2,0.0577994
375,425,5,53.3311,0.2,0.0578706
425,425,5,52.3535,0.2,0.0579242
475,425,5,51.6034,0.2,0.0579603
525,425,5,51.4319,0.2,0.0579816
575,425,5,51.464,0.2,0.0579817
625,425,5,51.5704,0.2,0.0579657
675,425,5,52.2933,0.2,0.0579098
725,425,5,53.833,0.2,0.0578134
775,425,5,56.0692,0.2,0.0577063
825,425,5,57.4534,0.2,0.0576388
875,425,5,58.2362,0.2,0.0575908
925,425,5,59.4965,0.2,0.0575231
975,425,5,60.0738,0.2,0.0574908
25,475,5,61.1079,0.2,0.0574314
75,475,5,61.0551,0.2,0.0574345
125,475,5,60.5083,0.2,0.0574653
175,475,5,59.4237,0.2,0.0575255
225,475,5,57.9982,0.2,0.0576046
275,475,5,56.4801,0.2,0.0576898
325,475,5,54.9864,0.2,0.0577742
375,475,5,53.7793,0.2,0.0578459
425,475,5,52.7961,0.2,0.0579036
475,475,5,52.1064,0.2,0.0579454
525,475,5,51.8403,0.2,0.0579638
575,475,5,51.8637,0.2,0.0579624
625,475,5,52.2029,0.2,0.0579383
675,475,5,53.1077,0.2,0.0578767
725,475,5,54.678,0.2,0.0577799
775,475,5,56.7852,0.2,0.0576692
825,475,5,57.6506,0.2,0.0576269
875,475,5,58.6396,0.2,0.0575707
925,475,5,59.5814,0.2,0.0575184
975,475,5,60.0943,0.2,0.0574896
25,25,15,61.369,0.2,0.0574164
75,25,15,61.0902,0.2,0.057432
125,25,15,60.2356,0.2,0.05748
175,25,15,59.1226,0.2,0.0575425
225,25,15,57.8408,0.2,0.0576145
275,25,15,56.6008,0.2,0.0576851
325,25,15,55.8663,0.2,0.0577309
375,25,15,55.3085,0.2,0.0577592
425,25,15,54.6197,0.2,0.0577927
475,25,15,53.7633,0.2,0.0578511
525,25,15,53.7394,0.2,0.0578539
575,25,15,54.239,0.2,0.0578195
625,25,15,55.4819,0.2,0.057725
675,25,15,56.2903,0.2,0.0576942
725,25,15,56.9334,0.2,0.0576683
775,25,15,57.8472,0.2,0.0576161
825,25,15,58.824,0.2,0.0575594
875,25,15,59.9369,0.2,0.057497
925,25,15,60.717,0.2,0.0574533
975,25,15,61.1842,0.2,0.0574269
25,75,15,61.2664,0.2,0.0574223
75,75,15,60.8234,0.2,0.0574472
125,75,15,59.9796,0.2,0.0574945
175,75,15,58.8366,0.2,0.0575584
225,75,15,57.4921,0.2,0.0576332
275,75,15,56.3511,0.2,0.0576998
325,75,15,55.444,0.2,0.05775
375,75,15,54.2243,0.2,0.0578097
425,75,15,53.1646,0.2,0.0578648
475,75,15,52.9582,0.2,0.0578935
525,75,15,53.1153,0.2,0.0578865
575,75,15,53.3811,0.2,0.0578679
625,75,15,54.0187,0.2,0.0578193
675,75,15,55.0856,0.2,0.0577626
725,75,15,56.3354,0.2,0.0576957
775,75,15,57.3723,0.2,0.0576431
825,75,15,58.1718,0.2,0.0575925
875,75,15,59.6252,0.2,0.0575141
925,75,15,60.5705,0.2,0.0574616
975,75,15,61.0483,0.2,0.0574346
25,125,15,61.0337,0.2,0.0574356
75,125,15,60.4441,0.2,0.0574684
125,125,15,59.5367,0.2,0.0575192
175,125,15,58.3702,0.2,0.0575844
225,125,15,57.0684,0.2,0.0576573
275,125,15,56.019,0.2,0.0577191
325,125,15,54.5171,0.2,0.0577927
375,125,15,52.693,0.2,0.0578675
425,125,15,51.9634,0.2,0.057935
475,125,15,52.0062,0.2,0.0579446
525,125,15,51.9436,0.2,0.0579415
575,125,15,51.9495,0.2,0.0579333
625,125,15,52.1192,0.2,0.0578872
675,125,15,53.6902,0.2,0.0578287
725,125,15,55.1309,0.2,0.0577545
